latitude,longitude,Country ,Region,Population,Internet Population,Revenues
35.86166,104.195397,China,Asia-Pacific,1439300000,946400000,44263000000
37.09024,-95.712891,United States of America,North America,331000000,283900000,42107000000
36.204824,138.252924,Japan,Asia-Pacific,126500000,114900000,20615000000
35.907757,127.766922,South Korea,Asia-Pacific,51300000,48600000,7325000000
51.165691,10.451526,Germany,Europe,83800000,75800000,6084000000
55.378051,-3.435973,United Kingdoms,Europe,67900000,62200000,5533000000
46.227638,2.213749,France,Europe,65300000,58800000,4351000000
56.130366,-106.346771,Canada,North America,37700000,34100000,3836000000
41.87194,12.56738,Italy,Europe,60500000,53300000,3482000000
40.463667,-3.74922,Spain,Europe,46800000,41800000,2460000000
